Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.4 Core Properties Obtained from Astrodendro
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     ---      id         Sequential identifier
   5- 19 A15    ---      ClumpName  Clump ATLASGAL catalog name (1)
  21- 26 A6     ---      CoreName   Core name (Unique within Clump)
  28- 29 I2     h        RAh        Hour of Right Ascension (ICRS) 
  31- 32 I2     min      RAm        Minute of Right Ascension (ICRS) 
  34- 38 F5.2   s        RAs        Second of Right Ascension (ICRS) 
  40- 40 A1     ---      DE-        Sign of the Declination (ICRS)
  41- 42 I2     deg      DEd        Degree of Declination (ICRS) 
  44- 45 I2     arcmin   DEm        Arcminute of Declination (ICRS) 
  47- 51 F5.2   arcsec   DEs        Arcsecond of Declination (ICRS) 
  53- 56 F4.2   arcsec   maj        Major axis of cores (FWHM)
  58- 61 F4.2   arcsec   min        Minor axis of cores (FWHM)
  63- 67 F5.2   mJy/beam Fpeak      Peak intensity
  69- 73 F5.2   mJy      Fint       Flux Density
--------------------------------------------------------------------------------
Note (1): By replacing G for AGAL, the source name Column (1) matches
    with the ATLASGAL simple names, Schuller et al. (2009)
    [2009A&A...504..415S]; Urquhart et al. (2014, 2018)
    [2014MNRAS.443.1555U, 2018MNRAS.473.1059U].
--------------------------------------------------------------------------------
149 G022.692-00.452 ALMA7  18 34 13.83 -09 18 44.88 1.44 0.95  0.80  0.90 
150 G022.692-00.452 ALMA8  18 34 14.84 -09 18 28.88 1.57 0.94  0.65  0.83 
151 G022.692-00.452 ALMA9  18 34 14.36 -09 18 34.28 4.05 1.62  0.59  2.65 
152 G022.692-00.452 ALMA10 18 34 13.45 -09 18 59.68 1.95 1.37  0.58  1.43 
153 G022.692-00.452 ALMA11 18 34 14.38 -09 18 37.48 2.28 0.85  0.49  0.75 
154 G022.692-00.452 ALMA12 18 34 14.72 -09 18 39.68 1.48 0.97  0.42  0.44 
155 G023.477+00.114 ALMA1  18 33 39.35 -08 21 17.09 1.65 1.21 11.71 16.16 
156 G023.477+00.114 ALMA2  18 33 39.51 -08 21 10.49 2.86 1.25  6.67 21.46 
157 G023.477+00.114 ALMA3  18 33 39.27 -08 21 09.89 1.75 0.98  4.53  7.61 
158 G023.477+00.114 ALMA4  18 33 38.81 -08 21 20.09 3.61 1.63  3.75 12.34 
159 G023.477+00.114 ALMA5  18 33 39.20 -08 21 12.69 1.39 0.69  2.19  2.62 
160 G023.477+00.114 ALMA6  18 33 39.14 -08 21 14.69 0.93 0.76  2.17  1.94 
161 G023.477+00.114 ALMA7  18 33 39.97 -08 21 04.49 3.02 1.20  1.89  7.30 
162 G023.477+00.114 ALMA8  18 33 41.07 -08 21 32.89 1.19 0.92  1.18  1.37 
163 G023.477+00.114 ALMA9  18 33 38.23 -08 21 23.09 3.34 1.20  0.93  3.44 
164 G023.477+00.114 ALMA10 18 33 40.79 -08 21 19.09 2.29 1.72  0.81  2.30 
165 G023.477+00.114 ALMA11 18 33 38.38 -08 21 24.49 1.87 0.76  0.65  0.81 
166 G023.477+00.114 ALMA12 18 33 38.74 -08 21 14.09 1.22 0.77  0.65  0.57 
167 G023.477+00.114 ALMA13 18 33 40.22 -08 21 21.69 1.41 0.73  0.65  0.75 
168 G023.477+00.114 ALMA14 18 33 40.06 -08 21 21.49 1.49 0.76  0.58  0.68 
169 G023.477+00.114 ALMA15 18 33 40.05 -08 20 59.29 1.81 0.70  0.51  0.55 
170 G023.477+00.114 ALMA16 18 33 40.34 -08 20 57.69 1.22 0.71  0.50  0.46 
171 G023.477+00.114 ALMA17 18 33 39.76 -08 21 20.69 0.89 0.80  0.48  0.39 
172 G023.477+00.114 ALMA18 18 33 38.63 -08 21 24.69 2.44 0.53  0.48  0.64 
173 G023.477+00.114 ALMA19 18 33 40.40 -08 21 04.49 1.82 0.89  0.46  0.57 
174 G024.010+00.489 ALMA1  18 33 18.27 -07 42 25.98 1.76 1.03 19.09 27.63 
175 G024.010+00.489 ALMA2  18 33 18.50 -07 42 25.58 1.12 0.78 10.84  9.09 
176 G024.010+00.489 ALMA3  18 33 18.45 -07 42 29.18 1.92 1.11  2.28  4.47 
177 G024.010+00.489 ALMA4  18 33 17.44 -07 42 45.98 2.16 1.56  1.48  3.43 
178 G024.010+00.489 ALMA5  18 33 18.81 -07 42 25.38 1.48 0.81  1.31  1.51 
179 G024.010+00.489 ALMA6  18 33 18.42 -07 42 31.98 1.04 0.82  1.31  1.13 
180 G024.010+00.489 ALMA7  18 33 19.04 -07 42 28.58 3.14 1.66  1.16  5.21 
181 G024.010+00.489 ALMA8  18 33 18.44 -07 42 19.38 1.50 0.71  1.14  1.21 
182 G024.010+00.489 ALMA9  18 33 18.06 -07 42 30.18 1.63 0.96  0.93  1.31 
183 G024.010+00.489 ALMA10 18 33 18.46 -07 42 35.58 1.57 1.05  0.88  1.42 
184 G024.010+00.489 ALMA11 18 33 17.00 -07 42 34.98 1.67 0.81  0.84  1.01 
185 G024.010+00.489 ALMA12 18 33 17.74 -07 42 45.58 1.51 0.81  0.72  0.94 
